evalIDWorker	Question	Answer
5	0	1	C
5	0	3	A
5	0	24	C
5	0	10	C
5	0	20	B
5	1	1	A
5	1	3	A
5	1	24	C
5	1	10	B
5	1	20	C
5	2	1	A
5	2	3	D
5	2	24	C
5	2	10	B
5	2	20	B
5	3	1	B
5	3	3	D
5	3	24	C
5	3	10	D
5	3	20	D
5	4	1	D
5	4	3	D
5	4	24	B
5	4	10	B
5	4	20	B
5	5	1	C
5	5	3	A
5	5	24	C
5	5	10	B
5	5	20	C
5	6	1	D
5	6	3	A
5	6	24	C
5	6	10	B
5	6	20	C
5	7	1	A
5	7	3	A
5	7	24	C
5	7	10	B
5	7	20	D
5	8	1	D
5	8	3	A
5	8	24	D
5	8	10	B
5	8	20	C
5	9	1	A
5	9	3	A
5	9	24	C
5	9	10	B
5	9	20	B
5	10	1	B
5	10	3	D
5	10	24	A
5	10	10	B
5	10	20	D
5	11	1	A
5	11	3	D
5	11	24	C
5	11	10	B
5	11	20	C
5	12	1	A
5	12	3	A
5	12	24	C
5	12	10	A
5	12	20	B
5	13	1	A
5	13	3	B
5	13	24	C
5	13	10	C
5	13	20	D
5	14	1	A
5	14	3	D
5	14	24	C
5	14	10	C
5	14	20	C
5	15	1	A
5	15	3	A
5	15	24	C
5	15	10	B
5	15	20	C
5	16	1	A
5	16	3	A
5	16	24	A
5	16	10	B
5	16	20	A
5	17	1	C
5	17	3	D
5	17	24	C
5	17	10	B
5	17	20	B
5	18	1	B
5	18	3	B
5	18	24	D
5	18	10	A
5	18	20	B
5	19	1	C
5	19	3	B
5	19	24	A
5	19	10	B
5	19	20	D
5	20	1	A
5	20	3	A
5	20	24	C
5	20	10	B
5	20	20	A
5	21	1	A
5	21	3	A
5	21	24	C
5	21	10	A
5	21	20	C
5	22	1	A
5	22	3	A
5	22	24	C
5	22	10	B
5	22	20	A
5	23	1	A
5	23	3	C
5	23	24	C
5	23	10	B
5	23	20	B
5	24	1	C
5	24	3	B
5	24	24	C
5	24	10	B
5	24	20	C
5	25	1	A
5	25	3	A
5	25	24	D
5	25	10	B
5	25	20	D
5	26	1	A
5	26	3	A
5	26	24	C
5	26	10	B
5	26	20	C
5	27	1	A
5	27	3	C
5	27	24	C
5	27	10	B
5	27	20	A
5	28	1	C
5	28	3	D
5	28	24	D
5	28	10	B
5	28	20	A
5	29	1	A
5	29	3	C
5	29	24	C
5	29	10	D
5	29	20	A
5	30	1	A
5	30	3	A
5	30	24	C
5	30	10	A
5	30	20	B
5	31	1	A
5	31	3	B
5	31	24	C
5	31	10	B
5	31	20	D
5	32	1	C
5	32	3	D
5	32	24	C
5	32	10	D
5	32	20	A
5	33	1	D
5	33	3	A
5	33	24	D
5	33	10	B
5	33	20	C
5	34	1	A
5	34	3	C
5	34	24	C
5	34	10	B
5	34	20	D
5	35	1	B
5	35	3	A
5	35	24	D
5	35	10	D
5	35	20	C
5	36	1	A
5	36	3	C
5	36	24	C
5	36	10	A
5	36	20	A
5	37	1	C
5	37	3	B
5	37	24	C
5	37	10	A
5	37	20	B
5	38	1	B
5	38	3	A
5	38	24	C
5	38	10	C
5	38	20	D
5	39	1	D
5	39	3	B
5	39	24	C
5	39	10	A
5	39	20	D
5	40	1	B
5	40	3	A
5	40	24	C
5	40	10	C
5	40	20	B
5	41	1	A
5	41	3	D
5	41	24	C
5	41	10	B
5	41	20	A
5	42	1	A
5	42	3	B
5	42	24	B
5	42	10	B
5	42	20	A
5	43	1	A
5	43	3	B
5	43	24	C
5	43	10	B
5	43	20	D
5	44	1	A
5	44	3	B
5	44	24	D
5	44	10	C
5	44	20	D
5	45	1	A
5	45	3	A
5	45	24	C
5	45	10	C
5	45	20	C
5	46	1	B
5	46	3	A
5	46	24	C
5	46	10	B
5	46	20	A
5	47	1	A
5	47	3	C
5	47	24	C
5	47	10	B
5	47	20	C
5	48	1	C
5	48	3	A
5	48	24	C
5	48	10	B
5	48	20	C
5	49	1	C
5	49	3	C
5	49	24	B
5	49	10	A
5	49	20	C
5	43	25	B
5	25	25	B
5	13	25	B
5	35	25	C
5	45	25	B
5	5	25	B
5	0	25	C
5	27	25	B
5	41	25	A
5	28	25	C
5	10	9	B
5	24	9	A
5	14	9	A
5	9	9	D
5	15	9	A
5	28	9	D
5	35	9	C
5	7	9	C
5	42	9	A
5	41	9	A
5	48	13	B
5	28	13	B
5	11	13	B
5	49	13	B
5	19	13	B
5	42	13	D
5	1	13	C
5	21	13	B
5	7	13	B
5	17	13	B
5	28	0	A
5	37	0	A
5	34	0	A
5	10	0	A
5	1	0	A
5	8	0	B
5	11	0	C
5	44	0	A
5	31	0	A
5	19	0	C
5	46	35	C
5	33	35	D
5	5	35	D
5	30	35	C
5	38	35	C
5	21	35	A
5	9	35	B
5	6	35	B
5	3	35	C
5	4	35	C
5	16	32	D
5	31	32	A
5	1	32	D
5	12	32	B
5	20	32	A
5	6	32	A
5	25	32	D
5	28	32	C
5	41	32	B
5	17	32	D
5	26	11	B
5	25	11	B
5	28	11	C
5	12	11	B
5	6	11	D
5	29	11	B
5	46	11	C
5	20	11	A
5	5	11	C
5	41	11	B
5	40	16	B
5	29	16	D
5	30	16	B
5	3	16	B
5	14	16	B
5	17	16	A
5	48	16	D
5	22	16	A
5	16	16	A
5	41	16	B
5	15	33	B
5	11	33	D
5	40	33	A
5	33	33	D
5	3	33	C
5	9	33	C
5	12	33	D
5	20	33	C
5	28	33	D
5	49	33	D
5	47	17	B
5	30	17	A
5	35	17	B
5	13	17	B
5	15	17	A
5	37	17	A
5	41	17	B
5	1	17	D
5	33	17	A
5	27	17	B
5	15	36	D
5	6	36	D
5	24	36	D
5	14	36	D
5	39	36	D
5	41	36	D
5	2	36	A
5	32	36	D
5	43	36	A
5	36	36	D
5	3	34	A
5	46	34	B
5	31	34	A
5	48	34	B
5	20	34	D
5	19	34	C
5	22	34	D
5	34	34	D
5	9	34	A
5	17	34	C
5	49	6	A
5	23	6	C
5	35	6	C
5	17	6	A
5	41	6	A
5	8	6	A
5	25	6	A
5	22	6	D
5	34	6	A
5	10	6	D
5	39	19	B
5	21	19	B
5	8	19	B
5	23	19	B
5	25	19	B
5	40	19	D
5	5	19	A
5	10	19	B
5	7	19	D
5	34	19	B
5	18	29	C
5	22	29	C
5	19	29	C
5	43	29	A
5	26	29	C
5	5	29	A
5	41	29	C
5	44	29	C
5	21	29	B
5	33	29	C
5	9	39	C
5	22	39	C
5	23	39	D
5	16	39	D
5	28	39	C
5	30	39	D
5	7	39	D
5	12	39	C
5	4	39	D
5	48	39	C
5	6	27	C
5	8	27	D
5	32	27	C
5	14	27	D
5	49	27	C
5	20	27	C
5	34	27	A
5	22	27	C
5	9	27	C
5	35	27	B
5	20	38	C
5	34	38	A
5	37	38	D
5	5	38	D
5	7	38	B
5	42	38	D
5	49	38	B
5	25	38	C
5	36	38	D
5	10	38	D
5	2	28	B
5	5	28	D
5	21	28	B
5	30	28	A
5	13	28	D
5	22	28	C
5	0	28	C
5	18	28	D
5	36	28	C
5	19	28	B
5	9	26	C
5	5	26	A
5	21	26	C
5	40	26	A
5	30	26	B
5	24	26	C
5	16	26	C
5	17	26	C
5	47	26	C
5	2	26	A
5	26	8	A
5	18	8	B
5	14	8	D
5	9	8	A
5	32	8	A
5	38	8	D
5	42	8	B
5	36	8	A
5	28	8	A
5	37	8	B
5	18	21	D
5	21	21	D
5	24	21	C
5	33	21	C
5	23	21	A
5	39	21	B
5	43	21	A
5	49	21	B
5	36	21	D
5	4	21	D
5	30	37	A
5	42	37	D
5	4	37	C
5	12	37	D
5	19	37	A
5	5	37	D
5	44	37	D
5	39	37	A
5	6	37	D
5	35	37	B
5	34	23	A
5	32	23	B
5	25	23	B
5	10	23	C
5	12	23	C
5	35	23	A
5	31	23	C
5	17	23	C
5	33	23	C
5	41	23	C
5	1	30	A
5	7	30	A
5	15	30	D
5	30	30	D
5	42	30	D
5	45	30	D
5	17	30	C
5	3	30	D
5	9	30	D
